step,type,amount,balanceSender,balanceReceiver,isFraud,errorBalanceSender,errorBalanceReceiver
93,1,326331.41,0.0,431455.44,0,-248197.40999999997,-5.820766091346741e-11
44,0,101608.82,0.0,261133.61,0,-59932.82000000001,2.9103830456733704e-11
14,1,1886131.49,0.0,1739132.42,0,-1871415.49,259794.47999999998
36,0,99807.84,0.0,654916.38,0,-78938.84,0.0
22,0,270162.81,0.0,270162.81,0,-267854.81,0.0
33,1,44537.76,0.0,566209.85,0,-24968.760000000002,0.0
9,0,271673.41,0.0,809030.44,0,-229997.40999999997,0.0
37,0,182618.41,0.0,1256301.34,0,-170301.41,-122823.93000000017
18,0,9131.0,0.0,142215.02,1,0.0,0.0
15,0,206933.39,0.0,206933.39,0,-206859.6,0.0
13,0,372381.0,0.0,447370.25,0,-309342.52,-62890.25
20,0,101053.16,108287.1,210497.2,0,0.0,0.0
33,0,74662.06,174.94,84051.28,0,2.3305801732931286e-12,0.00999999999476131
11,0,106503.55,0.0,2462685.56,0,-37028.55,-1103324.22
41,0,77536.68,0.0,935538.14,0,-35860.67999999999,-1.1641532182693481e-10
44,1,203581.88,0.0,1935773.03,0,-199512.88,-2.3283064365386963e-10
43,0,88942.39,0.0,2527903.99,0,-47266.39,0.0
44,0,266184.46,0.0,3687793.92,0,-224508.46000000002,0.0
10,0,141172.46,0.0,1374735.52,0,-121291.45999999999,-718972.35
33,0,31607.86,418640.14,2174848.83,0,0.0,0.0
9,0,2838.12,0.0,0.0,0,38837.88,107565.12
40,0,170371.21,0.0,2227875.12,0,-128695.20999999999,0.009999999776482582
38,0,79856.22,0.0,158926.45,0,-79014.22,0.010000000009313226
40,0,40150.85,0.0,124260.39,0,-13507.849999999999,-1.4551915228366852e-11
17,0,318587.58,0.0,742252.77,0,-307638.58,-423665.19
33,1,316769.16,0.0,835166.37,0,-275093.16,0.0
41,0,221318.78,0.0,500831.93,0,-179642.78,5.820766091346741e-11
42,0,167994.41,0.0,202178.02,0,-152179.41,2.9103830456733704e-11
42,0,72514.91,0.0,286415.86,0,-30838.910000000003,0.0
8,0,151793.74,0.0,162895.1,0,-137470.74,-2.9103830456733704e-11
68,1,374178.28,0.0,-1.0,1,0.0,374178.28
61,1,1155128.91,0.0,-1.0,1,0.0,1155128.91
17,0,141391.67,0.0,49187.25,0,-99715.67000000001,242826.07
40,1,173232.11,0.0,949012.78,0,-131556.11,0.0
35,0,74321.18,31987.82,74321.18,0,7.275957614183426e-12,0.0
41,0,101418.95,0.0,101418.95,0,-101167.95,0.0
17,1,1938974.77,0.0,14945729.8,0,-1897298.77,-1.862645149230957e-09
11,0,203620.87,0.0,1224958.34,0,-161944.87,-2.3283064365386963e-10
35,0,355402.06,0.0,1095332.74,0,-332573.06,24980.27000000002
44,0,120075.66,0.0,120075.66,0,-60633.66,0.0
13,0,113303.03,0.0,3902561.64,0,-71627.03,-344763.1200000001
46,0,369948.39,0.0,2309914.07,0,-328272.39,-164633.91999999993
17,0,17824.79,108329.64,0.0,0,-1.4551915228366852e-11,68067.79000000001
15,0,215389.36,0.0,6935107.52,0,-173713.36,-565571.2599999988
16,0,39671.5,0.0,334655.92,0,2004.5,326170.58
12,0,438556.26,0.0,2606857.08,0,-396880.26,0.0
46,1,108101.43,0.0,1187313.11,0,-66425.43,-2.3283064365386963e-10
20,0,105817.42,0.0,3345851.21,0,-73958.42,0.0
12,0,210756.48,0.0,1504933.65,0,-169080.48,-1031427.8499999999
38,0,14252.22,94011.78,355125.93,0,0.0,-0.010000000009313226
19,0,311773.24,0.0,778722.53,0,-270097.24,0.0
17,0,45979.69,358524.31,209855.34,0,0.0,0.0
47,0,201305.68,0.0,6256397.93,0,-190747.68,-351959.91000000015
33,0,133937.27,0.0,1104599.47,0,-92261.26999999999,0.0
10,0,27685.63,0.0,3732658.33,0,13990.369999999999,0.0
1,1,1867849.02,0.0,5515763.34,0,-1826173.02,-1376376.21
34,0,614496.78,0.0,614496.78,0,-604068.78,0.0
42,0,220683.29,0.0,2812932.83,0,-28969.290000000008,0.0
9,0,47984.82,0.0,2052250.94,0,-6308.82,117162.18999999994
46,1,157067.75,0.0,502806.99,0,-151472.75,0.0
15,0,5358.1,35677.9,1771593.08,0,0.0,-0.010000000009313226
38,0,229307.33,43192.67,295409.36,0,1.4551915228366852e-11,0.0
41,0,32626.13,0.0,1446628.59,0,-22250.13,-243596.92000000016
17,0,167910.69,0.0,346908.86,0,-126234.69,0.0
36,0,225125.04,0.0,1033268.28,0,-183449.04,0.0
33,0,89915.11,0.0,308936.78,0,-48239.11,40725.27999999997
9,1,11308.0,0.0,-1.0,1,0.0,11308.0
19,0,133999.25,0.0,133999.25,0,-133749.25,0.0
69,0,175328.85,0.0,285458.8,1,0.0,0.0
18,0,172271.14,0.0,671830.48,0,-130595.14000000001,-250336.56999999995
14,0,117296.15,0.0,16310832.97,0,-114307.15,0.0
7,0,5460002.91,0.0,9281535.44,1,0.0,-3821532.5299999993
68,1,915266.65,0.0,-1.0,1,0.0,915266.65
14,0,351220.28,0.0,698306.78,0,-309544.28,172719.83000000007
20,0,162370.78,0.0,1323800.02,0,-120694.78,0.0
7,1,1114525.24,0.0,17356500.26,0,-1072849.24,-1404705.4200000018
34,0,234760.9,0.0,1944925.57,0,-234216.9,0.009999999776482582
9,1,53533.31,0.0,242002.64,0,-11857.309999999998,-119333.33000000002
18,1,963966.69,0.0,1385215.39,0,-943301.69,0.0
21,1,72431.84,0.0,12534190.75,0,-30755.839999999997,0.0
40,0,109407.07,0.0,811009.67,0,-88733.07,-304638.91000000003
16,0,325121.65,0.0,2782099.42,0,-314482.65,0.0
15,1,1352285.31,0.0,3262554.21,0,-1310609.31,0.0
93,0,85559.72,0.0,131596.86,0,-29937.72,-0.009999999980209395
8,0,174778.79,0.0,974665.18,0,-133102.79,-499273.39
13,0,61974.28,0.0,461404.06,0,-20298.28,5.820766091346741e-11
46,0,585010.21,0.0,600979.29,1,0.0,-1.1641532182693481e-10
14,1,147729.56,0.0,2927336.13,0,-136101.56,-137365.52000000002
14,0,187498.26,0.0,1349862.11,0,-165916.26,59869.09999999986
20,1,344760.01,0.0,771500.22,0,-337716.01,0.0
19,0,137136.01,0.0,0.0,0,-31563.01000000001,167846.01
20,0,55055.97,0.0,1495267.51,0,-13379.970000000001,0.010000000009313226
20,0,389152.1,0.0,3839946.88,0,-347476.1,0.0
36,0,53786.2,0.0,2965552.28,0,-12110.199999999997,-23087.93999999948
11,1,1145833.32,0.0,2612715.61,0,-1104157.32,72370.58000000054
38,0,407005.78,0.0,407005.78,1,-365329.78,0.0
6,0,13704.0,0.0,143675.35,1,0.0,-126588.51000000001
10,0,226538.48,0.0,1904444.6,0,-184862.48,0.0
11,1,134897.97,0.0,773834.12,0,-93221.97,0.0
14,0,65488.05,0.0,65488.05,1,0.0,0.0
43,0,71381.58,0.0,174923.28,0,-29705.58,0.0
19,1,505126.39,0.0,414354.02,0,-465391.39,197719.65000000002
17,0,209780.65,0.0,229696.32,0,-102919.84999999999,0.0
16,0,450654.95,0.0,1215694.06,0,-408978.95,756431.0899999999
35,1,1301960.3,0.0,1159047.23,0,-1300325.3,142913.07000000007
64,1,436317.49,0.0,-1.0,1,0.0,436317.49
34,0,191266.04,0.0,586577.8,0,-149590.04,-24172.93000000005
18,0,159582.77,0.0,4661982.04,0,-117906.76999999999,-0.010000000707805157
36,0,136964.04,0.0,692956.7,0,-95288.04000000001,-238037.29999999993
18,0,48498.56,0.0,48498.56,0,-37023.56,0.0
15,0,249152.12,0.0,363344.37,0,-212143.12,0.0
45,0,82309.44,20131.97,9905165.81,0,0.00999999999476131,50490.49999999814
13,0,115739.07,0.0,625305.22,0,-37063.100000000006,0.0
35,0,103781.33,238276.67,199523.95,0,-2.9103830456733704e-11,0.0
33,0,6648389.9,0.0,9257599.45,1,0.0,0.0
69,0,967954.01,0.0,967954.01,1,0.0,0.0
15,0,219843.41,0.0,1429441.69,0,-178167.41,0.010000000009313226
19,0,25809.02,4289.98,25809.02,0,0.0,0.0
9,1,767025.81,0.0,909589.96,0,-648466.81,28527.560000000056
19,0,116519.96,0.0,192385.8,0,-74843.96,40950.79000000004
13,0,206866.64,0.0,267715.74,0,-206187.64,0.0
13,0,81153.59,0.0,208410.1,0,-39477.59,161073.04
41,0,245782.87,0.0,245782.87,0,-233290.87,0.0
15,0,331268.52,0.0,331268.52,0,-320192.52,0.0
12,0,417028.41,0.0,1766358.77,0,-391099.41,0.010000000009313226
41,0,314128.68,329838.32,362115.95,0,0.0,0.0
42,0,69227.58,0.0,0.0,0,-18405.58,69418.58
41,0,12548.54,0.0,34605.49,0,-9896.54,7.275957614183426e-12
11,1,347962.91,0.0,2010026.24,0,-306286.91,0.0
11,0,89548.73,0.0,909924.48,0,-47872.729999999996,-396215.18
9,0,282835.94,0.0,304131.11,0,-282752.94,8123.830000000016
6,1,17246.0,0.0,101717.84,1,0.0,-84471.84
52,0,969259.07,0.0,1054982.52,1,0.0,0.0
9,0,398978.54,0.0,4066257.5,0,-357302.54,-2421308.16
19,0,51211.34,0.0,991022.24,0,-51043.34,-0.010000000009313226
37,0,90813.26,0.0,1738068.02,0,-49137.259999999995,0.010000000009313226
19,0,3296.6,38884.4,1835216.03,0,0.0,-98281.02000000002
19,0,214135.07,0.0,11011446.44,0,-172459.07,0.0
17,0,197115.55,0.0,6691078.29,0,-185357.55,393886.01999999955
13,0,197315.62,0.0,2371796.95,0,-155497.62,-1859651.0900000003
42,0,12459.53,322.47,1118967.56,0,-6.821210263296962e-13,0.0
23,1,438961.02,0.0,1829363.29,0,-397285.02,0.0
36,0,471546.57,0.0,1303633.23,0,-429870.57,0.0
13,1,82452.75,0.0,7246209.44,0,-71878.91,0.009999999776482582
14,0,339068.42,0.0,310922.05,0,-56018.419999999984,31589.080000000016
15,0,143016.71,0.0,1391390.7,0,-101340.70999999999,0.0
9,1,350705.74,0.0,1184633.07,1,0.0,-833927.3300000001
39,0,258505.98,66098.97,258505.98,0,0.0,0.0
18,0,3891.88,37240.12,1392630.89,0,0.0,0.0
13,0,274969.63,0.0,1876238.82,0,-233293.63,-0.010000000009313226
37,0,113655.51,0.0,513542.51,0,-111160.51,0.0
34,0,168945.3,0.0,1204468.97,0,-127269.29999999999,0.0
10,1,645668.61,0.0,995103.55,0,-603992.61,-349434.94000000006
34,0,183838.7,0.0,999714.28,0,-142162.7,6090.570000000065
19,0,346824.09,0.0,1193909.86,0,-305148.09,175607.34999999986
19,0,186913.1,0.0,392713.36,0,-175913.1,0.0
80,0,173782.59,0.0,3446236.22,1,0.0,-4.656612873077393e-10
36,0,119312.65,0.0,294086.11,0,-77636.65,0.0
9,0,424127.23,0.0,424127.23,0,-344770.23,0.0
19,0,216907.23,0.0,339977.22,0,-55543.23000000001,19370.01000000001
43,0,139770.19,0.0,488420.31,0,-98094.19,0.0
35,0,253711.51,0.0,253711.51,0,-253440.51,0.0
19,0,308971.13,0.0,3685948.84,0,-149883.65,356376.81999999983
15,0,127765.76,0.0,1586972.29,0,-86089.76,0.0
41,0,163644.79,0.0,163644.79,0,-147916.79,0.0
39,0,105947.19,0.0,105947.19,0,-52120.19,0.0
19,0,225193.83,0.0,1335780.84,0,-183517.83,0.010000000009313226
18,1,886501.05,0.0,1920716.17,0,-844825.05,0.0
18,0,278596.78,0.0,2142713.66,0,-228506.09000000003,-324127.3500000001
4,0,10000000.0,0.0,9941904.21,1,0.0,58095.789999999106
18,0,38656.5,0.0,920234.43,0,3019.5,-558939.02
36,1,306488.26,0.0,306488.26,0,-255901.26,0.0
14,0,19300.38,0.0,436722.28,0,22375.62,0.0
6,0,17320.91,0.0,0.0,1,0.0,23565.35
20,0,176390.06,0.0,1939534.51,0,-134714.06,-329212.95999999996
20,0,182971.92,0.0,1033071.75,0,-141295.92,0.0
10,0,18165.25,0.0,945834.47,0,23510.75,-79455.07999999996
14,0,364841.83,0.0,833279.24,0,-363891.83,-468437.41
38,0,165604.43,0.0,1416667.66,0,-123928.43,0.0
17,0,112098.03,0.0,931630.58,0,-70422.03,22399.290000000037
35,1,435819.4,0.0,4615177.6,0,-394143.4,9.313225746154785e-10
20,0,604463.18,0.0,1738802.5,0,-562787.18,-288748.25
18,0,373335.04,0.0,285976.83,0,-372564.04,87358.20999999996
37,0,111677.56,193156.44,76599.71,0,0.0,35077.84999999999
43,0,268655.81,0.0,968856.37,0,-226979.81,1.1641532182693481e-10
20,1,192854.1,0.0,2011109.44,0,-151178.1,2.3283064365386963e-10
16,0,121181.5,0.0,283676.93,0,-79505.5,0.0
63,0,148188.84,0.0,342323.08,1,0.0,0.009999999951105565
41,1,790555.94,0.0,2549778.64,0,-748879.94,-4.656612873077393e-10
19,1,832295.04,0.0,2550150.7,0,-790619.04,-354168.41000000015
20,0,440216.69,0.0,2777575.29,0,-398540.69,0.0
20,0,215608.55,0.0,295484.34,0,-163765.55,0.009999999951105565
55,1,109028.8,0.0,-1.0,1,0.0,109028.8
41,0,24937.57,26725.43,128285.3,0,0.0,-1.4551915228366852e-11
9,0,89221.78,0.0,402055.67,0,-47545.78,-56659.639999999956
23,1,146127.1,0.0,-1.0,1,0.0,146127.1
36,0,206506.35,0.0,765091.13,0,-164830.35,0.0
9,0,556218.01,0.0,582265.81,1,0.0,-26047.800000000047
81,1,1980800.05,0.0,-1.0,1,0.0,1980800.05
10,0,34154.58,68679.42,101999.54,0,0.0,1.4551915228366852e-11
8,0,292996.52,0.0,2281735.27,0,-251320.52000000002,-1399524.03
45,0,133687.81,0.0,372549.19,0,-92011.81,0.0
8,0,127539.58,0.0,474803.34,0,-115734.58,0.0
46,1,71372.0,0.0,-1.0,1,0.0,71372.0
58,0,106673.26,0.0,106673.26,1,0.0,0.0
16,0,119786.07,0.0,2188282.16,0,-78110.07,0.0
37,0,438370.41,0.0,438370.41,0,-435261.41,0.0
19,0,427632.59,0.0,1262654.17,0,-385956.59,0.0
11,0,142361.9,299204.46,590729.11,0,-5.820766091346741e-11,-448367.20999999996
13,0,79811.27,0.0,954139.45,0,-38135.270000000004,-692883.8599999999
16,0,297294.09,0.0,185696.12,0,-279734.09,258006.5
11,0,223541.96,0.0,328248.25,0,-139179.27,-104706.29000000001
5,0,127127.67,0.0,160101.66,0,-85451.67,265708.80999999994
42,0,49688.0,0.0,958411.32,0,-47409.0,0.0
18,0,154716.18,0.0,1699303.5,0,-91038.18,-1440317.62
46,0,30899.32,0.0,2914642.76,0,10776.68,-0.009999999776482582
25,1,249159.26,0.0,-1.0,1,0.0,249159.26
21,1,170649.2,0.0,170649.2,0,-153599.2,0.0
17,0,61727.76,0.0,107420.33,0,-11218.760000000002,0.0
13,0,44672.55,0.0,53822.21,0,-23941.550000000003,7.275957614183426e-12
20,0,180884.5,0.0,1381790.15,0,-139208.5,0.0
43,0,209337.15,0.0,1407679.32,0,-167661.15,-406812.99
41,0,277775.56,0.0,2323960.14,0,-238003.2,0.0
12,1,656575.25,0.0,2813392.12,0,-614899.25,-1204853.4300000002
16,0,143667.87,0.0,2998386.2,0,-101991.87,-303020.5
43,1,123090.54,0.0,654916.47,0,-81414.54,-239561.27000000002
38,0,246515.5,0.0,1695655.41,0,-204839.5,0.0
40,0,246692.5,0.0,687520.08,0,-236587.5,-0.009999999892897904
18,0,542520.91,0.0,2296939.82,0,-500844.91000000003,-1183914.8699999996
40,0,92315.3,0.0,92315.3,0,-62200.3,0.0
18,0,71097.55,0.0,182732.74,0,-29421.550000000003,-0.010000000009313226
13,0,46495.57,0.0,913961.4,0,-4819.57,-348067.6000000001
16,0,98798.16,0.0,5649994.74,0,-8852.89,-218387.08999999985
9,0,201734.08,0.0,941712.8,0,-160058.08,-424923.95000000007
94,0,445257.43,0.0,445257.43,1,0.0,0.0
14,0,260660.62,0.0,260660.62,0,-254656.62,0.0
20,0,182200.07,0.0,366349.89,0,-140524.07,0.010000000009313226
44,0,333877.46,0.0,13892156.3,0,-292201.46,0.0
42,1,142875.07,0.0,742251.01,0,-101199.07,0.0
6,1,13704.0,0.0,1658746.09,1,0.0,-1645042.09
36,0,48524.82,0.0,3732673.34,0,-6848.82,0.009999999776482582
13,0,343131.17,0.0,3505835.21,0,-301455.17,6967.060000000056
13,0,454967.63,0.0,824593.64,0,-424229.63,-81939.01000000001
17,0,298620.57,0.0,680422.71,0,-256944.57,-0.010000000009313226
7,1,5460002.91,0.0,-1.0,1,0.0,5460002.91
20,0,365076.72,0.0,745544.17,0,-323400.72,0.009999999892897904
12,1,1001646.48,0.0,1793020.92,0,-1001186.48,-678287.04
40,0,153718.45,0.0,1186653.13,0,-112042.45000000001,397494.69999999995
94,0,42750.04,0.0,346882.53,0,-1074.0400000000009,-5.820766091346741e-11
46,0,49946.06,0.0,412054.98,0,-8270.059999999998,0.0
89,1,766631.82,0.0,-1.0,1,0.0,766631.82
41,0,50138.61,0.0,135871.1,0,-8462.61,0.0
22,1,31673.26,0.0,953609.77,0,-5659.259999999998,0.0
17,0,301545.09,1151666.18,1383310.93,0,0.0,60954.230000000214
10,0,478759.54,0.0,523703.16,0,-447138.54,-1066.1900000000023
1,1,35063.63,0.0,-1.0,1,0.0,35063.63
21,0,198640.35,0.0,701497.76,0,-156964.35,0.0
13,0,173270.52,0.0,-1.0,0,-171197.52,173270.52
41,0,432723.06,0.0,432723.06,0,-310835.43,0.0
13,0,369117.24,0.0,1719987.92,0,-327441.24,0.0
43,0,96607.4,0.0,1115810.91,0,-54931.399999999994,0.0
10,0,10136.28,0.0,0.0,0,31539.72,112715.28
13,1,145761.49,0.0,406026.95,0,-104085.48999999999,-24519.820000000007
36,1,487480.18,0.0,1618727.14,0,-445804.18,0.0
9,0,36106.02,0.0,6614473.41,0,5569.980000000003,-3556205.65
15,0,377641.35,0.0,5802528.26,0,-335965.35,0.0
33,0,162541.18,0.0,162541.18,0,-162378.18,0.0
19,0,148082.08,0.0,148082.08,0,-119484.07999999999,0.0
15,1,372768.9,0.0,372768.9,0,-348384.9,0.0
38,0,360688.3,0.0,360688.3,1,0.0,0.0
18,0,103504.0,0.0,0.0,0,-91541.0,107550.0
14,1,339506.07,0.0,1043802.76,0,-297830.07,-111893.12000000011
43,0,101853.31,36313.69,478205.64,0,0.0,0.0
43,1,16824.27,0.0,53265.68,0,24851.73,-0.010000000002037268
17,0,218645.82,0.0,436577.86,0,-186964.82,0.010000000009313226
42,0,63967.19,0.0,63967.19,0,-42106.19,0.0
11,0,199990.09,0.0,220766.09,0,-199784.09,0.0
47,1,61487.67,0.0,-1.0,1,0.0,61487.67
38,1,1921.39,0.0,14075395.59,0,39754.61,0.0
73,1,684796.16,0.0,-1.0,1,0.0,684796.16
40,1,390384.94,0.0,1933108.53,0,-348708.94,0.0
14,0,290385.47,0.0,363159.22,0,-248709.46999999997,285352.70999999996
21,0,219198.4,0.0,397155.3,0,-214303.4,46320.67999999999
13,0,147443.95,0.0,4124891.35,0,-105767.95000000001,-1899465.1
22,0,91801.94,0.0,91801.94,0,-91160.94,0.0
16,1,963921.33,0.0,2474231.36,0,-922245.33,-524877.96
18,0,102364.9,75938.58,291538.25,0,1.4551915228366852e-11,-189083.35
94,1,56742.65,0.0,7062175.2,0,-15066.650000000001,0.0
24,0,178372.13,0.0,4026837.99,0,-132752.13,-4.656612873077393e-10
36,0,171442.79,0.0,501786.96,0,-118890.79000000001,-330344.17000000004
16,0,43710.26,0.0,813828.73,0,-2034.260000000002,10959.73999999999
13,0,165390.9,0.0,11301516.01,0,-159831.9,0.0
19,0,150581.86,0.0,150581.86,0,-108905.85999999999,0.0
