step;type_id;amount;nameOrig;oldbalanceOrg;newbalanceOrig;nameDest;oldbalanceDest;newbalanceDest;isFraud;isFlaggedFraud
33;3;6130.55;C939007396;82713.0;76582.45;M1020585162;0.0;0.0;0;0
35;2;467569.49;C1658238134;10073.0;0.0;C2044959885;0.0;467569.49;0;0
21;2;144563.41;C526655339;395.0;0.0;C858397377;69952.46;214515.88;0;0
46;1;195237.97;C429855593;6872885.06;7068123.03;C1904851572;3096046.44;2900808.46;0;0
35;2;80649.55;C1909634284;0.0;0.0;C1452291694;1190681.9;1271331.45;0;0
12;3;19083.83;C1652096117;0.0;0.0;M539115216;0.0;0.0;0;0
35;3;3463.36;C1666594434;40319.0;36855.64;M1369755901;0.0;0.0;0;0
43;4;45779.73;C500343662;11064.0;0.0;C1109485194;0.0;45779.73;0;0
18;2;251305.39;C1327817065;10221.0;0.0;C568141727;166388.93;417694.32;0;0
14;1;152151.81;C2063657123;1514375.71;1666527.52;C1419771524;686330.76;534178.94;0;0
9;1;87683.54;C289299652;5221438.45;5309122.0;C1696758742;18270232.53;20198404.74;0;0
43;2;72431.85;C1162264929;108282.0;35850.15;C623843443;712501.75;784933.6;0;0
19;3;5384.67;C1447953708;413.0;0.0;M1775857868;0.0;0.0;0;0
19;1;262223.25;C101948322;102274.0;364497.25;C469742396;360945.72;98722.48;0;0
39;1;187321.12;C654919492;16901.0;204222.12;C842642744;128498.6;0.0;0;0
19;3;15764.55;C959498248;275738.96;259974.4;M48029953;0.0;0.0;0;0
18;2;234841.7;C1588453808;0.0;0.0;C2127642184;2050248.24;2045407.0;0;0
34;4;1589446.38;C1220799469;39832.0;0.0;C1545535345;43129.76;1632576.14;0;0
13;1;153114.16;C652542812;10716797.84;10869912.0;C529404054;720261.51;1003361.2;0;0
11;2;224319.52;C1313111280;0.0;0.0;C657312979;3673986.12;4134839.6;0;0
15;3;23973.69;C627151358;51893.0;27919.31;M1981881051;0.0;0.0;0;0
19;3;503.66;C199215836;0.0;0.0;M246740346;0.0;0.0;0;0
10;3;7083.45;C918959987;201882.0;194798.55;M397363974;0.0;0.0;0;0
15;1;221167.17;C511878695;1190852.38;1412019.55;C354836435;13969575.9;13851141.81;0;0
38;3;12267.71;C1343982263;0.0;0.0;M1391648311;0.0;0.0;0;0
9;2;325934.52;C288180020;0.0;0.0;C1793928293;30315.0;398976.66;0;0
33;2;157355.6;C1967613166;9943.0;0.0;C854011568;198440.92;551723.92;0;0
36;2;236017.13;C1284092328;51999.0;0.0;C504572456;0.0;236017.13;0;0
39;4;529429.21;C1464022828;0.0;0.0;C1001619347;805063.13;1334492.34;0;0
17;2;111045.21;C601499168;921150.48;810105.28;C219006916;1176456.9;1287502.11;0;0
41;1;47545.07;C912923676;851766.38;899311.46;C325418292;3584660.56;3419535.86;0;0
14;3;24561.51;C347986960;0.0;0.0;M1060335867;0.0;0.0;0;0
21;3;174.83;C262097323;77801.0;77626.17;M1955459488;0.0;0.0;0;0
18;3;21033.89;C237067639;101356.0;80322.11;M1101805378;0.0;0.0;0;0
35;3;8983.58;C880292599;0.0;0.0;M3477526;0.0;0.0;0;0
35;1;36624.71;C395686759;28899.0;65523.71;C1698776554;0.0;259751.95;0;0
17;3;2460.94;C1743573730;496492.0;494031.06;M2056939629;0.0;0.0;0;0
14;3;1097.87;C1708990089;0.0;0.0;M1514876544;0.0;0.0;0;0
10;3;24685.9;C1028840241;98490.52;73804.62;M268147293;0.0;0.0;0;0
34;2;30564.8;C352754885;232069.46;201504.66;C26813858;404142.69;434707.49;0;0
19;1;157091.47;C2051185215;7289712.9;7446804.37;C1445813356;426186.69;200742.12;0;0
14;2;464376.8;C1450186639;106807.0;0.0;C885051840;9999.0;138530.92;0;0
7;3;12284.29;C1035611659;11212.0;0.0;M791558311;0.0;0.0;0;0
47;2;293990.69;C1454346118;49934.0;0.0;C1627785046;134234.13;428224.83;0;0
12;2;23348.52;C628126189;106433.0;83084.48;C750661006;0.0;175006.93;0;0
18;3;16676.03;C1508303260;258929.95;242253.93;M833017662;0.0;0.0;0;0
34;2;293355.07;C1629650792;15266.0;0.0;C655624275;0.0;293355.07;0;0
17;3;3036.64;C8373154;0.0;0.0;M1802354348;0.0;0.0;0;0
13;3;15912.41;C1887647227;3730585.88;3714673.47;M1440795220;0.0;0.0;0;0
42;2;435307.91;C407597936;97109.0;0.0;C1787733902;75465.52;510773.43;0;0
11;3;5200.13;C1899605556;0.0;0.0;M1271481286;0.0;0.0;0;0
13;2;151327.43;C2730468;20192.0;0.0;C872618723;0.0;151327.43;0;0
41;2;151700.17;C310401354;0.0;0.0;C1584990277;251393.95;60195.95;0;0
14;2;191217.67;C822266832;0.0;0.0;C781389962;697529.2;888746.87;0;0
42;2;91034.7;C1977559893;0.0;0.0;C1288674287;215147.92;306182.62;0;0
16;2;211712.9;C1402533895;319304.23;107591.33;C469457078;668067.99;879780.89;0;0
46;1;34879.38;C295160010;1096053.25;1130932.63;C1233430142;8101539.08;8066659.7;0;0
40;2;78896.94;C1317784349;0.0;0.0;C1310317424;933047.3;1011944.24;0;0
21;3;3610.02;C1210518425;231986.78;228376.77;M1933690106;0.0;0.0;0;0
14;2;392424.4;C199963848;0.0;0.0;C1528752559;413768.3;494898.14;0;0
17;2;161139.17;C1541683417;9014.0;0.0;C1078907505;384115.16;545254.33;0;0
15;2;92829.97;C1833513558;0.0;0.0;C1459861371;1560200.81;1653030.78;0;0
16;4;1252717.82;C217058580;20527.0;0.0;C244873304;2676772.73;3734952.79;0;0
37;4;386389.61;C1464962456;15003.0;0.0;C1885724961;415078.54;801468.15;0;0
33;2;215794.06;C362411409;21942.0;0.0;C894268159;579759.99;795554.05;0;0
17;1;404538.59;C610088325;15144.0;419682.59;C1186861498;307813.43;0.0;0;0
40;2;252189.01;C801127139;50766.0;0.0;C2127741470;3841784.42;4093973.43;0;0
12;2;115491.77;C479866290;0.0;0.0;C1899357328;637276.89;1085421.15;0;0
14;2;40554.53;C1396371262;23003.0;0.0;C229707080;1312402.09;1352956.62;0;0
46;1;420048.47;C554499359;530125.05;950173.53;C167522080;1336512.71;916464.23;0;0
15;3;12442.82;C20579466;30799.0;18356.18;M1010570588;0.0;0.0;0;0
19;3;8126.79;C835556486;0.0;0.0;M1775431403;0.0;0.0;0;0
15;3;5223.25;C1890049530;157.0;0.0;M1832759974;0.0;0.0;0;0
43;2;136092.37;C1737317373;3316.0;0.0;C1896668197;0.0;136092.37;0;0
35;2;226331.24;C121324863;28.0;0.0;C1133068909;0.0;226331.24;0;0
8;1;9318.49;C2072504477;7555986.4;7565304.88;C440082302;192326.42;207994.7;0;0
17;2;3151.93;C1935085806;320859.0;317707.07;C747725843;31312.0;0.0;0;0
13;1;71716.88;C1603344852;109179.0;180895.88;C940753778;0.0;0.0;0;0
20;2;279244.07;C1736741086;0.0;0.0;C1859631557;6420756.65;6700000.71;0;0
40;3;11849.19;C1911592386;0.0;0.0;M2003490954;0.0;0.0;0;0
55;4;167715.53;C5594712;167715.53;0.0;C69798076;0.0;0.0;1;0
44;3;4771.76;C1173232197;31008.28;26236.53;M1565243333;0.0;0.0;0;0
37;2;184790.48;C1522355341;11888.0;0.0;C2092066548;0.0;184790.48;0;0
43;3;4708.63;C881940841;180035.25;175326.62;M1148084681;0.0;0.0;0;0
42;2;73865.05;C495594373;0.0;0.0;C1129766765;244362.62;318227.67;0;0
19;3;9557.62;C160091403;3924.04;0.0;M1715933945;0.0;0.0;0;0
33;3;9160.43;C368287294;0.0;0.0;M189441285;0.0;0.0;0;0
41;4;438005.43;C446086499;0.0;0.0;C1543117867;457111.95;895117.38;0;0
13;2;194555.65;C510527172;0.0;0.0;C1565520208;1235205.77;1429761.42;0;0
38;1;200326.16;C435631983;924.0;201250.16;C1596846345;244671.21;44345.05;0;0
39;2;6287.68;C758594448;0.0;0.0;C1849819934;16235.0;22522.68;0;0
19;2;9071.57;C1633343909;0.0;0.0;C1341912487;0.0;9071.57;0;0
20;2;166832.03;C1816458202;0.0;0.0;C391266221;741731.15;908563.18;0;0
15;3;5158.94;C1406019977;0.0;0.0;M1954283055;0.0;0.0;0;0
9;4;1029233.39;C1341707336;131382.07;0.0;C1360921062;10949.0;0.0;0;0
14;3;46746.47;C2076233038;180940.93;134194.46;M32719998;0.0;0.0;0;0
14;1;65781.56;C1211571678;4578092.57;4643874.14;C1781507777;2284913.98;2259397.96;0;0
23;3;3054.35;C2142719841;31075.0;28020.65;M2124662215;0.0;0.0;0;0
36;3;31679.65;C1335625864;0.0;0.0;M985028900;0.0;0.0;0;0
33;2;186117.04;C1783101338;19962.0;0.0;C1615469147;619358.41;805475.44;0;0
41;3;11034.26;C35763871;263634.63;252600.37;M2089058510;0.0;0.0;0;0
19;2;275956.87;C141612651;0.0;0.0;C1511546645;847793.7;1078413.04;0;0
12;1;382402.06;C645361486;5122.0;387524.06;C1861608554;311361.39;0.0;0;0
12;1;139539.49;C971547552;577770.22;717309.71;C1938539570;1995591.32;1883691.17;0;0
13;3;8642.34;C1394714496;392218.99;383576.64;M1247292136;0.0;0.0;0;0
18;1;71033.13;C1191987160;15970683.7;16041716.83;C2114040183;972979.09;1157779.97;0;0
36;1;536.76;C849414530;30008.0;30544.76;C188324306;0.0;0.0;0;0
40;5;352.31;C1384890996;10097.0;9744.69;C614463619;76661.96;77014.27;0;0
15;3;12213.72;C1918023362;40085.0;27871.28;M1742678700;0.0;0.0;0;0
40;3;3176.95;C1466511708;0.0;0.0;M1943847659;0.0;0.0;0;0
14;3;596.99;C646126380;67841.0;67244.01;M1985328044;0.0;0.0;0;0
94;3;13757.5;C558357994;0.0;0.0;M1222449978;0.0;0.0;0;0
11;1;115700.46;C514452757;11242634.16;11358334.62;C1115240385;722182.8;606482.34;0;0
19;3;654.57;C872571670;19148.0;18493.43;M506428261;0.0;0.0;0;0
17;1;110355.54;C2076429746;12289796.08;12400151.62;C405178736;851110.05;740754.51;0;0
10;2;318895.24;C1132783239;0.0;0.0;C1734719138;2083633.15;2874894.2;0;0
19;1;493806.19;C1931810820;5063777.03;5557583.22;C1687217451;1905957.5;1412151.32;0;0
19;1;107571.86;C28787117;15959706.51;16067278.37;C1017105771;640002.65;591249.76;0;0
18;2;145722.9;C1437046358;0.0;0.0;C1091916245;3383765.61;3529488.51;0;0
44;3;3886.5;C387985905;504.0;0.0;M1080273926;0.0;0.0;0;0
12;2;121164.33;C489609974;623647.71;502483.38;C1683963531;1493185.26;2934164.69;0;0
12;1;36078.25;C1236111641;4730790.54;4766868.8;C1485453615;108131.0;64793.39;0;0
12;3;14919.23;C1834185082;221837.0;206917.77;M580607109;0.0;0.0;0;0
10;3;14924.49;C135408073;271564.46;256639.97;M1907491109;0.0;0.0;0;0
36;2;139601.78;C205323010;0.0;0.0;C1530738184;400052.73;539654.5;0;0
19;2;198305.34;C1573173667;0.0;0.0;C557973056;218135.45;416440.79;0;0
36;1;92897.82;C1338979244;2611622.5;2704520.32;C190862668;170719.89;77822.08;0;0
35;1;382189.99;C794987248;3397765.16;3779955.14;C1317879563;7879596.59;7497406.6;0;0
18;1;123801.79;C725580596;10558922.17;10682723.96;C325810209;413868.26;488749.41;0;0
22;1;7528.77;C551805662;8231134.14;8238662.9;C1588599760;29668.14;22139.37;0;0
41;2;314128.68;C1552210418;643967.0;329838.32;C1693874295;47987.27;362115.95;0;0
44;1;501754.56;C1904616587;2699733.38;3201487.94;C1669657512;1409134.44;907379.88;0;0
39;1;159760.5;C897302068;21378.0;181138.5;C821458999;91445.9;0.0;0;0
24;3;3566.7;C1552355690;42339.0;38772.3;M376269894;0.0;0.0;0;0
95;3;6336.07;C1590614090;39804.0;33467.93;M114721269;0.0;0.0;0;0
34;2;129226.2;C1579958888;0.0;0.0;C883252426;5317224.96;5446451.16;0;0
43;1;312822.82;C917454827;410390.0;723212.82;C991327076;0.0;0.0;0;0
94;3;3813.2;C503971178;175.0;0.0;M1551932915;0.0;0.0;0;0
22;1;112383.57;C2095965218;2459129.11;2571512.67;C1135687260;434896.01;322512.44;0;0
11;3;11843.05;C1668131889;251.0;0.0;M1878567942;0.0;0.0;0;0
34;1;116132.31;C493919626;49571.0;165703.31;C918759744;69653.21;0.0;0;0
8;4;499617.88;C273478908;0.0;0.0;C1219369531;8551002.38;9652824.29;0;0
18;3;156.92;C1498837829;0.0;0.0;M1633797186;0.0;0.0;0;0
18;2;88015.66;C801853702;30759.0;0.0;C986827481;296696.19;99529.13;0;0
47;1;67980.42;C1114972821;11999921.02;12067901.44;C1222896802;6337744.37;6269763.95;0;0
41;2;101418.95;C801178211;251.0;0.0;C1443035825;0.0;101418.95;0;0
19;2;173891.32;C1869929885;86672.0;0.0;C1733797657;32263.22;206154.55;0;0
15;2;365334.55;C1007963256;80266.0;0.0;C1172110926;723472.13;1971909.36;0;0
35;2;357156.63;C533126839;16175.0;0.0;C1413677222;6475493.88;6832650.51;0;0
43;1;168442.58;C1139907789;265.0;168707.58;C1102638023;542143.07;373700.49;0;0
42;1;54429.13;C770387213;202.0;54631.13;C555497893;2091396.88;2036967.75;0;0
9;2;670931.71;C148627602;0.0;0.0;C201312827;946469.15;3681495.69;0;0
17;2;48264.55;C799134797;81984.0;33719.45;C652175952;1556160.23;1604424.79;0;0
20;1;418469.83;C2125297923;693502.86;1111972.7;C68825486;742687.66;324217.83;0;0
35;4;1340150.54;C133428518;42740.0;0.0;C1936349546;53820.17;1393970.72;0;0
46;2;40144.27;C334486624;23414.0;0.0;C1669481082;0.0;40144.27;0;0
18;3;30625.17;C1173292018;15821.0;0.0;M2007471049;0.0;0.0;0;0
18;3;12278.84;C193235193;0.0;0.0;M1751579532;0.0;0.0;0;0
10;3;19947.46;C1828369719;29643.31;9695.84;M35670304;0.0;0.0;0;0
21;3;30594.13;C11674939;59856.3;29262.17;M1366762325;0.0;0.0;0;0
35;3;35473.7;C1697595897;0.0;0.0;M1877121932;0.0;0.0;0;0
16;1;226727.65;C1532120873;1645577.25;1872304.9;C1811041014;475890.84;249163.19;0;0
22;3;13355.43;C69435875;13308.0;0.0;M545160232;0.0;0.0;0;0
14;2;681085.89;C1182126349;107837.0;0.0;C1838518494;869814.29;1330837.41;0;0
44;3;2675.24;C338781971;421178.99;418503.75;M1602320303;0.0;0.0;0;0
43;3;607.74;C514296610;40705.85;40098.12;M83496252;0.0;0.0;0;0
41;1;78328.23;C732020340;1775420.27;1853748.49;C2125085491;261745.71;183417.49;0;0
16;2;277294.1;C1629348709;0.0;0.0;C2030896723;723060.15;1000354.25;0;0
19;2;32928.51;C1289937220;0.0;0.0;C26241131;160072.36;128219.57;0;0
8;3;20459.34;C1123978212;15380.0;0.0;M1456697992;0.0;0.0;0;0
35;1;13705.57;C332141060;3484759.05;3498464.61;C1716445751;93332.87;79627.3;0;0
19;2;52382.56;C1225482710;55683.58;3301.02;C1540448538;54481.0;317651.32;0;0
13;2;329152.4;C352090538;0.0;0.0;C1227603646;1319212.3;1779062.33;0;0
39;4;911721.13;C500094104;88.0;0.0;C443126924;18454897.71;19366618.84;0;0
46;2;41162.17;C596851256;48320.04;7157.86;C390339982;946474.18;987636.36;0;0
15;2;47171.76;C216087061;0.0;0.0;C1209549380;2201649.28;2248821.03;0;0
37;2;73026.89;C1420139392;643596.1;570569.21;C1100811316;159714.0;232740.89;0;0
36;1;119554.67;C143675770;6765192.4;6884747.07;C6808506;341893.7;222339.03;0;0
94;2;289228.58;C305740774;0.0;0.0;C157804882;494112.45;783341.03;0;0
36;2;302774.28;C1425651051;36106.0;0.0;C651945613;0.0;302774.28;0;0
39;3;947.77;C2021949061;29512.0;28564.23;M2072920576;0.0;0.0;0;0
20;1;4943.75;C801910272;13669776.49;13674720.25;C1400085107;8915503.52;8910559.76;0;0
12;2;36451.79;C108114070;0.0;0.0;C1662516418;59591.42;86462.07;0;0
36;1;101435.3;C755079157;2183134.27;2284569.57;C213632991;10970083.15;10868647.85;0;0
39;3;11407.03;C1595091456;22460.0;11052.97;M1011397141;0.0;0.0;0;0
94;1;125821.02;C2086288005;9592312.09;9718133.11;C1089406571;3441984.52;3316163.5;0;0
36;3;1394.41;C987862833;0.0;0.0;M695170983;0.0;0.0;0;0
21;3;794.41;C1444774656;6171.21;5376.8;M1662397649;0.0;0.0;0;0
13;3;2066.3;C1055066368;0.0;0.0;M328785982;0.0;0.0;0;0
12;1;316991.47;C1778375718;8792035.07;9109026.54;C911093380;462640.73;95794.31;0;0
13;3;12021.12;C8498744;139.0;0.0;M1857882883;0.0;0.0;0;0
18;1;105721.83;C2043627485;5340744.58;5446466.41;C818890825;600661.02;294559.51;0;0
40;3;9504.17;C1229376678;18444.82;8940.65;M1283240298;0.0;0.0;0;0
23;3;5035.13;C123973515;35056.0;30020.87;M597219988;0.0;0.0;0;0
35;3;6301.0;C638871090;124450.0;118149.0;M285049659;0.0;0.0;0;0
13;1;62745.0;C882595497;10325.0;73070.0;C1680515083;0.0;0.0;0;0
19;4;373604.47;C1461663900;0.0;0.0;C912069867;411421.53;785026.0;0;0
19;2;279023.71;C583673750;14650.0;0.0;C648140651;18571949.62;18921545.15;0;0
7;3;9999.93;C711590723;788.0;0.0;M642389872;0.0;0.0;0;0
13;2;211158.1;C318286601;0.0;0.0;C985934102;11094555.75;11305713.84;0;0
40;2;137163.1;C1159573553;0.0;0.0;C447885315;714055.65;851218.75;0;0
36;3;3544.3;C504153933;525724.09;522179.79;M159662122;0.0;0.0;0;0
19;1;182312.77;C1338221511;27879.0;210191.77;C1487965527;270183.2;87870.43;0;0
43;3;1171.0;C859859775;53654.66;52483.66;M1975150272;0.0;0.0;0;0
18;3;1264.57;C2068762375;573.0;0.0;M1697889599;0.0;0.0;0;0
34;3;21679.36;C171282292;192.0;0.0;M181819959;0.0;0.0;0;0
42;1;99114.23;C1855713577;451218.89;550333.12;C1255980822;1802800.88;1703686.65;0;0
15;4;789274.16;C183976660;0.0;0.0;C147916733;3407067.31;5265262.02;0;0
15;2;311574.81;C1145867116;0.0;0.0;C492114605;424732.25;736307.06;0;0
47;1;89387.15;C1084645197;264.0;89651.15;C1330989747;2521335.71;2431948.57;0;0
12;1;215990.08;C1907852674;20039.0;236029.08;C837588739;4255696.77;4053920.54;0;0
10;4;183933.88;C831818785;0.0;0.0;C1157464567;676846.78;905882.24;0;0
19;3;5629.46;C233529918;10064.0;4434.54;M279581192;0.0;0.0;0;0
34;4;272879.59;C1855445623;8542.0;0.0;C900569672;55241.74;328121.33;0;0
18;3;17257.81;C2029140614;51887.78;34629.98;M927859325;0.0;0.0;0;0
12;4;277141.03;C428849462;0.0;0.0;C1550173783;334720.24;1309918.07;0;0
16;2;73506.33;C963562519;784912.0;711405.67;C1927337252;5043.0;78549.33;0;0
17;2;595.5;C448731563;112816.0;112220.5;C1055693056;47815.4;48410.9;0;0
13;5;628.95;C2057894856;134078.0;133449.05;C854431640;21183.0;21811.95;0;0
11;3;4054.87;C1311382396;0.0;0.0;M1484900054;0.0;0.0;0;0
17;1;73685.02;C298772555;1619520.77;1693205.79;C1424677649;1234042.45;1160357.43;0;0
36;2;118618.68;C1330404181;0.0;0.0;C1543124951;804645.42;657396.21;0;0
22;3;5767.38;C1939945262;549.0;0.0;M425440649;0.0;0.0;0;0
9;1;35394.54;C1555498023;7094084.93;7129479.48;C1690854648;123335.57;348554.58;0;0
36;1;31194.43;C1396768787;17056454.7;17087649.13;C375739763;152754.79;121560.36;0;0
41;2;296536.57;C2083050122;0.0;0.0;C2114117778;689636.94;986173.51;0;0
42;2;4427.6;C473089020;9078.0;4650.4;C1011451315;529408.52;533836.12;0;0
14;4;1668896.92;C94038436;0.0;0.0;C290522291;2173703.41;4632458.69;0;0
39;1;30894.18;C1110521899;3676.0;34570.18;C1878742736;1179483.02;1148588.84;0;0
34;2;503913.14;C1605533946;0.0;0.0;C1115647824;1120435.06;1624348.19;0;0
38;3;3718.96;C1330559564;17010.0;13291.04;M2144074157;0.0;0.0;0;0
9;3;3922.73;C1520585023;0.0;0.0;M1678756690;0.0;0.0;0;0
47;3;7522.34;C38948166;50485.0;42962.66;M1047576725;0.0;0.0;0;0
19;4;6856.98;C1139905383;74697.0;67840.02;C647976720;0.0;58663.64;0;0
39;4;800766.5;C1518707819;14819.0;0.0;C1935472920;0.0;800766.5;0;0
37;3;449.33;C43156150;0.0;0.0;M1272066506;0.0;0.0;0;0
8;3;1220.34;C329208220;0.0;0.0;M803086830;0.0;0.0;0;0
13;1;177928.44;C722389787;0.0;177928.44;C1433215540;0.0;0.0;0;0
20;1;208824.37;C552290834;4777304.48;4986128.85;C47035782;350983.89;142159.51;0;0
35;3;20231.87;C987830130;0.0;0.0;M1969671125;0.0;0.0;0;0
11;2;105965.47;C1430591055;7698.45;0.0;C1485392578;169368.92;70423.27;0;0
35;1;470242.62;C880811031;1042546.56;1512789.17;C210060666;1143207.92;672965.3;0;0
42;3;5335.37;C1737274417;0.0;0.0;M989322800;0.0;0.0;0;0
16;2;195172.43;C1136620065;426760.0;231587.57;C280511481;0.0;195172.43;0;0
16;1;161251.55;C2024364354;0.0;161251.55;C1793500374;297456.31;136204.76;0;0
39;2;352837.55;C663219686;63138.51;0.0;C1938612885;2289293.09;2642130.64;0;0
44;2;139778.18;C1096450487;0.0;0.0;C1181723827;1320268.48;1460046.67;0;0
19;1;350827.79;C2082023504;10083.0;360910.79;C1784300038;0.0;0.0;0;0
18;2;214291.63;C1286676566;2602.0;0.0;C1701555190;0.0;654488.73;0;0
17;2;380221.78;C1218125416;553379.59;173157.81;C1367369501;474511.06;854732.84;0;0
37;4;870687.35;C1550195451;0.0;0.0;C2041941947;1504226.11;2374913.46;0;0
19;1;7049.83;C1184444371;3440017.76;3447067.59;C440737101;375590.79;368540.95;0;0
45;3;3400.82;C1425499886;1644.0;0.0;M982176425;0.0;0.0;0;0
40;2;28822.11;C663637810;0.0;0.0;C1060021702;502750.67;531572.78;0;0
43;2;348625.66;C765846171;2229.0;0.0;C1211317010;581361.79;929987.45;0;0
37;1;15336.45;C1926512657;2540.0;17876.45;C345603257;12118905.55;12103569.1;0;0
33;2;13909.5;C1817130324;5954.05;0.0;C1645284135;23250.03;37159.54;0;0
44;3;13935.11;C186196710;124406.61;110471.5;M1244059788;0.0;0.0;0;0
43;3;996.35;C821377895;28963.0;27966.65;M642613498;0.0;0.0;0;0
8;3;6772.25;C2084103034;0.0;0.0;M1611603171;0.0;0.0;0;0
19;2;130930.99;C1938503008;0.0;0.0;C1690062936;142355.8;273286.79;0;0
15;2;176557.26;C1322625696;471.0;0.0;C239243471;56228.4;386519.22;0;0
19;1;117877.54;C978349647;2573050.22;2690927.75;C1225761077;525969.49;282299.17;0;0
17;1;364634.37;C92959454;21202.0;385836.37;C1697822455;4680319.22;3787316.82;0;0
11;2;42360.82;C2088239668;0.0;0.0;C1954751748;1135870.7;1178231.52;0;0
15;1;171335.88;C1092293606;4601849.29;4773185.17;C2096306817;349507.32;178171.44;0;0
44;3;503.44;C1017617142;0.0;0.0;M270108854;0.0;0.0;0;0
16;2;28158.93;C1363693805;15807.0;0.0;C1336969293;460943.76;736400.75;0;0
14;3;9570.92;C1113059210;228583.82;219012.9;M1693760850;0.0;0.0;0;0
9;1;137653.33;C1011337099;7129479.48;7267132.81;C1322609917;243545.98;332821.55;0;0
20;2;290263.81;C585258604;13272.0;0.0;C732969680;215251.81;316317.97;0;0
33;3;1872.93;C1124170668;0.0;0.0;M239280928;0.0;0.0;0;0
37;2;110156.82;C1720411386;8241.0;0.0;C510078603;8519.14;118675.95;0;0
45;1;112073.68;C2132877469;1739476.96;1851550.64;C1398454805;5217350.22;5105276.54;0;0
9;3;33015.48;C921263762;0.0;0.0;M197392685;0.0;0.0;0;0
40;3;13619.31;C760554708;39678.0;26058.69;M18936445;0.0;0.0;0;0
9;3;23756.3;C1847163954;57492.0;33735.7;M839353899;0.0;0.0;0;0
7;4;253521.71;C1048997868;0.0;0.0;C1570256460;5460002.91;9281535.44;0;0
33;3;882.66;C1368776078;433.0;0.0;M1311647042;0.0;0.0;0;0
38;2;148560.14;C1331008429;0.0;0.0;C26813858;826725.93;975286.07;0;0
12;1;44426.36;C355194793;566898.16;611324.52;C1031739591;217096.77;223443.42;0;0
34;1;62548.07;C753944187;3243105.27;3305653.34;C1065016584;182090.12;119542.05;0;0
